2026-02-05 10:36:08 | INFO     | app.main | 请求 | GET /api/v1/assets/scrapped | 状态=200 | 耗时=5.61 ms | 客户端=127.0.0.1
2026-02-05 10:36:11 | INFO     | app.main | 请求 | GET /api/v1/assets/pending-scrap | 状态=200 | 耗时=4.09 ms | 客户端=127.0.0.1
2026-02-05 10:36:21 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.30 ms | 客户端=127.0.0.1
2026-02-05 10:39:19 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.37 ms | 客户端=127.0.0.1
2026-02-05 10:41:11 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.55 ms | 客户端=127.0.0.1
2026-02-05 10:41:53 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.17 ms | 客户端=127.0.0.1
2026-02-05 10:43:33 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=8.04 ms | 客户端=127.0.0.1
2026-02-05 10:43:33 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=200 | 耗时=10.99 ms | 客户端=127.0.0.1
2026-02-05 10:43:55 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=4.43 ms | 客户端=127.0.0.1
2026-02-05 10:49:25 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.44 ms | 客户端=127.0.0.1
2026-02-05 10:49:48 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.27 ms | 客户端=127.0.0.1
2026-02-05 10:52:49 | INFO     | app.main | 请求 | GET /api/v1/servers/1 | 状态=200 | 耗时=4.60 ms | 客户端=127.0.0.1
2026-02-05 10:52:54 | INFO     | app.main | 请求 | GET /api/v1/servers/1 | 状态=200 | 耗时=4.33 ms | 客户端=127.0.0.1
2026-02-05 10:52:58 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.26 ms | 客户端=127.0.0.1
2026-02-05 10:53:21 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.65 ms | 客户端=127.0.0.1
2026-02-05 10:57:57 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=5.06 ms | 客户端=127.0.0.1
2026-02-05 10:58:17 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.43 ms | 客户端=127.0.0.1
2026-02-05 10:58:22 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.18 ms | 客户端=127.0.0.1
2026-02-05 10:58:28 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.24 ms | 客户端=127.0.0.1
2026-02-05 11:02:20 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=8.71 ms | 客户端=127.0.0.1
2026-02-05 11:02:20 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=200 | 耗时=11.77 ms | 客户端=127.0.0.1
2026-02-05 11:03:19 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.53 ms | 客户端=127.0.0.1
2026-02-05 11:05:54 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.36 ms | 客户端=127.0.0.1
2026-02-05 11:06:51 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.21 ms | 客户端=127.0.0.1
2026-02-05 11:08:26 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.44 ms | 客户端=127.0.0.1
2026-02-05 11:11:44 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.53 ms | 客户端=127.0.0.1
2026-02-05 11:11:52 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.24 ms | 客户端=127.0.0.1
2026-02-05 11:13:57 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.87 ms | 客户端=127.0.0.1
2026-02-05 11:14:05 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.29 ms | 客户端=127.0.0.1
2026-02-05 11:14:13 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.34 ms | 客户端=127.0.0.1
2026-02-05 11:16:45 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.47 ms | 客户端=127.0.0.1
2026-02-05 11:16:54 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.29 ms | 客户端=127.0.0.1
2026-02-05 11:17:04 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.22 ms | 客户端=127.0.0.1
2026-02-05 11:17:49 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.60 ms | 客户端=127.0.0.1
2026-02-05 11:18:57 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.37 ms | 客户端=127.0.0.1
2026-02-05 11:19:08 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.36 ms | 客户端=127.0.0.1
2026-02-05 11:20:22 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.49 ms | 客户端=127.0.0.1
2026-02-05 11:21:38 | INFO     | app.main | 请求 | POST /api/v1/assets | 状态=307 | 耗时=0.56 ms | 客户端=127.0.0.1
2026-02-05 11:21:38 | INFO     | app.main | 请求 | POST /api/v1/assets/ | 状态=403 | 耗时=1.68 ms | 客户端=127.0.0.1
2026-02-05 11:22:02 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=320.99 ms | 客户端=127.0.0.1
2026-02-05 11:22:20 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=319.72 ms | 客户端=127.0.0.1
2026-02-05 11:22:20 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=6.67 ms | 客户端=127.0.0.1
2026-02-05 11:22:20 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=200 | 耗时=10.89 ms | 客户端=127.0.0.1
2026-02-05 11:22:24 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.28 ms | 客户端=127.0.0.1
2026-02-05 11:22:55 | INFO     | app.main | 请求 | POST /api/v1/assets/ | 状态=200 | 耗时=95.82 ms | 客户端=127.0.0.1
2026-02-05 11:22:57 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=5.25 ms | 客户端=127.0.0.1
2026-02-05 11:23:19 | INFO     | app.main | 请求 | GET /api/v1/assets/5 | 状态=200 | 耗时=8.31 ms | 客户端=127.0.0.1
2026-02-05 11:23:19 | INFO     | app.main | 请求 | GET /api/v1/assets/5/history | 状态=200 | 耗时=8.92 ms | 客户端=127.0.0.1
2026-02-05 11:25:50 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=5.27 ms | 客户端=127.0.0.1
